"Data Source","Jobs",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Czech Republic","CZE","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","9.963985594","9.170305677","8.8","8.547794118","10.62658764","2.143130501","3.902835019","4.705811647","1.7850993","0.107708792","2.82727114","1.846170702","2.528104997","2.927443471","6.350986289","1.044811886","1.408717924","1.936389149","3.299073139","1.434726602","0.337186898","0.344782438","0.639352818",
"Germany","DEU","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","5.077330077","4.434976276","2.744552619","1.723671149","1.446061036","1.880192392","0.935622318","0.569776342","1.471334348","1.983856851","1.420806713","1.034223392","1.665736088","1.546910755","1.577429241","2.29834058","2.628383067","0.312737723","1.103808561","2.075172931","2.008491182","1.504722267","0.906797035","0.234429945","0.483355422",
"Djibouti","DJI","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","1.74665225","0.637619554","1.981967346","3.122262047","3.104966401","3.483406997","4.965976546","11.95862069","1.675495873","3.950078759","5.068713948","3.731209508","2.420593208","1.341864943","-0.847389734","2.738412087",
"Dominica","DMA","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","3.190923232","5.557061534","5.471825593","1.569026042","0.015136735","1.317537458","1.677164505","2.436297155","0.999147458","1.179477874","0.856946805","1.303894035","0.17005533","1.453368004","2.394109821","1.681900799","2.592820909","3.237836144","6.334754545","0.029933034","3.20744344","2.387630979","1.356771478","-0.046411647","0.799139764","-0.786338877","0.231336293",
"Denmark","DNK","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","2.652716128","2.367960465","2.101981293","1.250985028","1.994357428","2.098435712","2.111360239","2.1957914","1.853178156","2.478685066","2.924779141","2.35","2.426314932","2.090620032","1.16016507","1.808805419","1.890073335","1.714031313","3.399474759","1.326372231","2.297730121","2.758682261","2.397914857","0.78907178","0.56402054","0.452034154","0.25",
"Dominican Republic","DOM","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","50.46247924","47.07915741","4.259026389","5.250338807","8.260767986","12.53595946","5.39929385","8.296567548","4.831665586","6.470541868","7.724135662","8.883068488","5.223367698","27.44971274","51.46085983","4.190202605","7.572805239","6.143566552","10.6446211","1.442151318","6.329932201","8.46016881","3.694524905","4.830950967","2.998642261","0.836746347","1.614166072",
"Algeria","DZA","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","16.65253439","25.88638693","31.66966191","20.54032612","29.04765612","29.77962649","18.67907586","5.733522754","4.950161638","2.645511134","0.339163189","4.225988349","1.418301923","4.268953958","3.961800303","1.382446567","2.314524087","3.673827269","4.862990528","5.734333414","3.913043478","4.521764663","8.894585294","3.253684177","2.916406413","4.784976963","6.397714109",
"East Asia & Pacific (excluding high income)","EAP","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","8.19137132","6.965681278","7.52573572","5.7369058335","7.6514890145","5.818181818","7.3134825935","5.608028434","8.6148315365","4.2907285175","2.0271403665","4.8090861005","3.5279559985","4.172747778","4.534213741","6.349255065","5.095166617","5.577063932","9.776585195","3.214695752","3.789836348","5.410918114","3.172085646","2.997694081","3.855238553","1.370823273","2.063829787",
"East Asia & Pacific","EAS","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","7.812677403","6.49734556","6.306306306","4.8599385075","5.6499089395","4.638135783","5.52480986","3.7276576015","5.4910118035","1.9838242725","1.5750608255","3.746018239","2.691859699","2.770735241","3.23751394","2.960865088","3.700086806","4.522297607","7.732278579","1.472343114","3.247588424","5.252918288","3.02","2.909178822","2.761954083","1.276227705","1.638072033",
"Europe & Central Asia (excluding high income)","ECA","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","307.6344092","125.412427385","39.18254237","17.40804106","10.57716115","22.68367181","18.70073428","8.995238545","5.823527517","5.179677819","6.961261359","8.247090431","7.261613313","8.421500392","12.34877209","3.466723732","6.419565094","7.651233638","3.317185846","3.985359902","2.980988073","4.003578207","1.282798834",
"Europe & Central Asia","ECS","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","5.678058626","10.92278719","9.053681392","8.196219484","5.538972981","4.658303933","2.333138905","3.902835019","4.278546995","2.786159883","2.233864933","2.863059555","2.600957461","3.1928859425","2.9300629765","6.0715627705","1.5080803945","2.3902580255","3.779038044","2.7908354335","1.7275666355","0.586269905","0.218021424","0.378856363",
"Ecuador","ECU","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","48.519113","48.80382775","54.34083601","45","27.44252874","22.88613303","24.37308869","30.64298008","36.09843316","52.24235091","96.09411369","37.67802094","12.48401857","7.929410005","2.742181329","2.407769783","3.034874293","2.276301235","8.400825434","5.157924","3.556123806","4.474553859","5.10065348","2.738631757","3.57312785","3.970219159","1.724430236",
"Egypt, Arab Rep.","EGY","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","16.75637471","19.74854482","13.63742417","12.08979229","8.154231286","15.7422305","7.187103697","4.625605788","3.872575464","3.079499126","2.683805353","2.269757205","2.73723855","4.507776363","11.27061933","4.869396969","7.644526445","9.318969058","18.31683168","11.76349544","11.26518827","10.0539169","7.11815562","9.42157654","10.14580055","10.35748965","13.81463839",
"Euro area","EMU","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","3.701983124","3.334348356","4.029762782","4.4556260075","4.129921816","4.123148338","2.978924865","2.161612308","2.227707327","1.655629139","2.846721116","2.787816211","2.461074837","2.112538768","2.22568082","2.489582068","2.675833333","2.510666229","4.075660764","0.374079976","1.529639382","3.289449396","2.485675087","1.374906203","0.241057543","0.037803733","0.183334861",
"Eritrea","ERI","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","6.717940458","5.935326449","5.925723648","4.568636022","4.718467624","4.674753058","3.558506581","1.970708492","1.83353706","2.310672196","3.43261428","3.591100876","3.066777271","3.03988488","3.037486218","3.369714479","3.515374911","2.787030473","4.075660764","-0.287996835","1.79988133","3.196146412","2.446000185","1.408546292","-0.150870313","-0.500461321","-0.202671741",
"Estonia","EST","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","89.81194903","47.65469062","28.77661372","23.05034335","10.58187893","8.208333333","3.296110897","4.019980616","5.745330486","3.57128333","1.338289476","3.048071707","4.089689921","4.42991487","6.597638594","10.36560303","-0.084776494","2.975580329","4.977614784","3.934921578","2.788496796","-0.144815519","-0.456766653","0.149108978",
"Ethiopia","ETH","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","5.152481242","35.72259823","10.52744401","3.543065962","7.593876002","10.02217336","-8.484248689","2.395209581","0.894801694","7.941448641","0.662458109","-8.237844534","1.653729328","17.7622842","3.256272907","12.94487921","12.31","17.23800196","44.39128123","8.468335788","8.136941131","33.22421525","22.77046088","8.078472326","7.39181448","10.13411465","7.266076144",
"European Union","EUU","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","6.29958393","5.935326449","5.077330077","4.6083147115","4.7085284675","4.2748969205","3.3396020745","2.65393466","2.4060646895","2.168078339","3.1567271685","3.1517294265","2.3074027065","2.0998468855","2.255948944","2.483518232","2.601969165","2.6336949725","4.204766653","0.950366","1.669887361","3.309659785","2.7187690445","1.3876899465","0.2205662005","-0.0585336105","0.2166674305",
"Finland","FIN","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","6.10289523","4.115953409","2.601973477","2.101071975","1.085913127","0.985221675","0.616615282","1.195031056","1.399130883","1.159265049","3.367666887","2.56623896","1.562144598","0.877438551","0.187123375","0.861059229","1.566666667","2.510666229","4.065951657","0.00061529","1.210357625","3.416809034","2.808332326","1.478288133","1.041200006","-0.207164371","0.3569705",
"Fiji","FJI","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","8.19137132","6.49734556","4.883022716","5.206589252","0.816666667","2.165647214","3.050161812","3.368140064","5.711681604","1.96867366","1.0921646","4.272670245","0.762032086","4.172747778","2.827485194","2.365764538","2.490836388","4.803706413","7.732278579","3.214695752","3.680014831","7.286544479","3.408333333","2.909178822","0.540328896","1.370823273","3.864771418",
"France","FRA","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","3.380057194","3.216934745","2.365765038","2.106010412","1.660872924","1.778115502","2.004778228","1.221995927","0.595238095","0.533377781","1.699411423","1.630257581","1.916907283","2.109073739","2.134874759","1.735587081","1.68372645","1.488073528","2.813915043","0.088084169","1.529639382","2.117486809","1.9556855","0.86360693","0.507700673","0.037803733","0.183334861",
